Score,Episodes,Duration_format,Genre_format,Name_format,Source_format,cluster
7,1,119,13,720,0,0
5,1,33,2,721,0,0
7,1,80,3,722,2,0
8,1,87,1,723,0,0
6,2,30,10,724,2,0
6,2,30,3,725,2,0
7,47,25,3,726,1,0
6,1,46,3,727,1,0
6,1,54,3,728,1,0
7,2,50,1,729,1,0
7,12,24,0,730,1,0
6,13,25,7,731,0,0
7,1,63,2,732,4,0
8,76,25,0,733,1,0
5,3,26,1,734,1,0
6,1,19,0,735,1,0
6,16,3,0,736,1,0
7,24,8,0,737,1,0
7,7,30,0,738,1,0
8,101,25,3,739,1,0
7,54,25,4,740,1,0
7,40,23,1,741,0,0
7,5,11,1,742,0,0
7,1,10,0,743,1,0
7,4,34,1,744,0,0
7,5,37,1,745,2,0
7,13,25,1,746,1,0
7,24,24,0,747,0,0
6,13,24,3,748,1,0
6,3,40,5,749,2,0
8,48,25,0,750,1,0
8,36,25,1,751,0,0
8,1,115,1,752,0,0
7,1,140,1,753,0,0
7,1,135,1,754,0,0
8,1,140,1,755,0,0
6,136,23,0,756,1,0
8,1,99,3,757,0,0
8,1,108,4,758,0,0
6,13,26,3,759,2,0
6,3,30,0,760,2,0
7,1,59,0,761,1,0
7,13,25,0,762,0,0
6,6,3,0,763,1,0
6,1,28,0,764,0,0
6,1,82,1,765,2,0
7,26,24,2,766,1,0
7,1,24,3,767,1,0
7,39,25,0,768,1,0
7,1,78,0,769,0,0
6,3,30,10,770,2,0
6,1,37,11,771,1,0
7,1,99,3,772,2,0
7,1,80,0,773,26,0
7,1,91,0,774,26,0
7,1,79,0,775,26,0
7,1,74,0,776,26,0
7,1,81,0,777,26,0
7,1,98,0,778,26,0
7,25,24,2,779,1,0
7,1,25,4,780,2,0
7,13,47,4,781,0,0
7,12,23,0,782,1,0
7,12,23,0,783,1,0
7,1,24,0,784,1,0
7,1,100,1,785,0,0
7,50,23,0,786,0,0
7,26,24,0,787,0,0
7,1,1,1,788,0,0
7,32,23,2,789,0,0
7,52,24,0,790,26,0
7,1,95,2,791,0,0
7,1,136,2,792,1,0
8,12,23,3,793,1,0
7,1,43,0,794,0,0
7,1,30,0,795,0,0
6,4,47,7,796,2,0
6,3,45,1,797,1,0
7,4,36,0,798,1,0
7,6,30,0,799,1,0
6,4,27,1,800,0,0
6,25,24,1,801,26,0
6,3,30,0,802,1,0
7,25,24,0,803,1,0
6,2,30,0,804,1,0
7,48,15,5,805,0,0
7,6,30,4,806,26,0
6,12,24,1,807,1,0
7,10,37,0,808,1,0
7,3,45,4,809,0,0
7,3,29,0,810,2,0
7,3,29,0,811,2,0
8,26,23,0,812,2,0
6,13,25,0,813,0,0
7,4,28,4,814,1,0
6,3,52,1,815,0,0
7,26,25,4,816,0,0
7,25,24,0,817,1,0
7,4,30,0,818,1,0
7,6,30,1,819,0,0
6,3,30,1,820,26,0
7,26,22,0,821,2,0
6,6,32,0,822,0,0
7,26,22,0,823,0,0
7,3,23,0,824,1,0
7,26,24,1,825,1,0
7,6,27,0,826,2,0
6,13,24,0,827,2,0
7,12,24,0,828,0,0
7,13,23,0,829,2,0
7,12,5,0,830,1,0
7,12,25,0,831,2,0
7,50,10,0,832,1,0
6,26,24,2,833,0,0
6,1,24,1,834,26,0
7,1,22,2,835,0,0
7,1,47,1,836,1,0
8,24,24,0,837,2,0
8,1,115,1,838,0,0
8,26,25,4,839,0,0
7,10,24,0,840,1,0
6,1,30,3,841,1,0
7,13,24,0,842,1,0
6,52,25,0,843,1,0
7,26,25,3,844,1,0
6,13,24,1,845,26,0
7,3,45,1,846,1,0
6,4,50,4,847,1,0
6,2,27,0,848,1,0
7,12,23,4,849,0,0
7,26,25,0,850,1,0
7,3,30,0,851,1,0
6,1,25,0,852,0,0
8,39,24,3,853,1,0
7,1,47,4,854,0,0
7,24,24,4,855,1,0
6,1,50,1,856,1,0
7,13,24,1,857,1,0
7,1,55,1,858,26,0
7,26,24,0,859,26,0
7,26,24,0,860,1,0
8,39,25,0,861,0,0
5,1,87,1,862,0,0
7,1,80,4,863,1,0
7,54,24,0,864,0,0
6,6,24,4,865,0,0
6,3,30,2,866,2,0
6,1,1,1,867,26,0
6,1,58,1,868,1,0
6,1,48,1,869,1,0
6,2,39,0,870,1,0
6,4,30,10,871,1,0
6,7,26,1,872,26,0
8,39,27,4,873,2,0
6,6,36,0,874,0,0
8,19,24,7,875,0,0
6,3,30,0,876,2,0
5,1,47,1,877,0,0
5,1,48,1,878,0,0
7,7,30,0,879,0,0
8,16,25,0,880,0,0
7,1,102,4,881,0,0
7,5,27,1,882,0,0
8,195,25,0,883,1,0
7,1,48,0,884,0,0
6,1,45,0,885,0,0
6,1,53,0,886,0,0
7,13,24,14,887,0,0
7,24,10,0,888,1,0
7,26,25,0,889,0,0
7,50,25,0,890,0,0
6,26,25,1,891,0,0
7,52,20,8,892,1,0
7,1,29,6,893,1,0
6,4,45,3,894,1,0
7,1,79,3,895,2,0
6,3,25,0,896,1,0
6,26,25,0,897,0,0
7,26,1,0,898,1,0
6,25,24,0,899,1,0
5,2,30,1,900,1,0
5,1,37,1,901,1,0
6,1,56,1,902,1,0
6,3,24,4,903,0,0
7,8,41,4,904,0,0
7,3,45,1,905,0,0
6,12,24,1,906,0,0
7,3,30,1,907,0,0
6,6,30,1,908,0,0
7,3,45,1,909,0,0
6,3,40,2,910,1,0
7,3,58,1,911,2,0
6,2,30,10,912,2,0
6,1,100,4,913,26,0
8,1,100,0,914,1,0
6,1,10,0,915,1,0
7,13,25,4,916,1,0
8,47,24,0,917,1,0
7,26,23,4,918,1,0
7,13,25,4,919,1,0
7,1,90,1,920,2,0
6,6,15,0,921,1,0
7,4,28,1,922,1,0
6,2,30,10,923,2,0
6,10,30,10,924,2,0
6,5,30,10,925,2,0
6,3,30,10,926,2,0
7,49,25,0,927,0,0
7,4,30,0,928,0,0
7,3,24,0,929,0,0
7,1,33,0,930,0,0
7,6,30,10,931,2,0
6,2,30,10,932,2,0
7,5,30,10,933,2,0
7,5,5,4,934,0,0
7,13,24,4,935,0,0
6,6,28,0,936,0,0
8,23,25,0,937,1,0
7,1,91,0,938,1,0
7,1,97,0,939,1,0
8,1,92,0,940,1,0
7,1,92,0,941,1,0
7,1,90,0,942,1,0
8,155,25,0,943,1,0
6,1,50,0,944,1,0
7,1,73,0,945,1,0
7,1,92,0,946,1,0
6,13,23,1,947,2,0
6,2,54,1,948,0,0
6,6,30,4,949,1,0
7,26,24,0,950,0,0
8,96,25,0,951,1,0
7,13,23,1,952,0,0
6,12,23,1,953,0,0
7,15,34,1,954,0,0
7,49,25,1,955,0,0
6,6,30,1,956,1,0
8,3,37,4,957,1,0
7,10,22,1,958,1,0
7,26,23,4,959,0,0
6,1,48,1,960,1,0
8,51,25,0,961,1,0
7,1,28,4,962,1,0
8,103,23,0,963,1,0
8,24,23,3,964,1,0
6,2,38,1,965,1,0
8,35,25,0,966,1,0
8,102,22,0,967,1,0
7,1,24,0,968,0,0
7,3,14,0,969,0,0
7,26,24,1,970,0,0
6,1,83,4,971,1,0
7,12,25,0,972,2,0
6,4,24,0,973,1,0
7,26,23,0,974,1,0
6,20,25,4,975,1,0
7,13,25,0,976,1,0
7,6,24,0,977,1,0
5,1,23,0,978,1,0
7,153,22,0,979,1,0
7,26,24,0,980,1,0
8,12,24,1,981,1,0
8,12,50,3,982,1,0
7,13,25,2,983,0,0
7,1,69,0,984,26,0
7,1,100,1,985,26,0
6,1,42,0,986,26,0
