Score,Episodes,Rating,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format
6,13,PG-13 - Teens 13 or older,24,1,4,42,100,236,0,0
7,38,PG - Children,25,1,0,0,191,237,0,1
7,12,PG-13 - Teens 13 or older,25,1,0,17,50,238,0,1
7,12,PG-13 - Teens 13 or older,23,1,0,0,151,239,0,1
7,4,PG-13 - Teens 13 or older,33,1,4,0,151,240,2,0
7,4,R - 17+ (violence & profanity),30,0,1,0,321,241,2,1
7,48,G - All Ages,7,3,0,0,306,242,0,1
8,1,PG-13 - Teens 13 or older,106,1,0,0,64,243,1,0
5,4,R+ - Mild Nudity,18,2,0,57,3,244,2,1
7,13,R+ - Mild Nudity,24,2,0,18,191,245,0,0
7,26,PG-13 - Teens 13 or older,25,1,2,0,330,246,0,0
6,13,PG-13 - Teens 13 or older,24,1,0,12,100,247,0,0
7,26,PG-13 - Teens 13 or older,24,1,3,14,191,248,0,1
7,13,PG-13 - Teens 13 or older,24,1,3,0,210,249,2,1
6,1,PG - Children,84,1,1,58,31,250,1,1
6,3,Rx - Hentai,24,2,0,59,64,251,2,1
7,10,PG-13 - Teens 13 or older,23,1,0,46,18,252,0,0
6,3,R+ - Mild Nudity,30,2,0,51,413,253,2,1
7,2,Rx - Hentai,26,2,1,44,21,254,2,0
6,12,R+ - Mild Nudity,23,2,0,29,91,255,0,0
8,12,R - 17+ (violence & profanity),24,0,0,6,191,256,0,1
8,13,R+ - Mild Nudity,24,2,3,53,191,257,0,0
8,47,PG-13 - Teens 13 or older,25,1,0,53,216,258,0,0
7,25,PG-13 - Teens 13 or older,24,1,3,2,127,259,0,1
7,4,R - 17+ (violence & profanity),22,0,7,9,191,260,0,1
6,10,G - All Ages,24,3,3,27,306,261,0,0
8,26,PG-13 - Teens 13 or older,25,1,4,0,216,262,0,1
7,13,R+ - Mild Nudity,24,2,0,12,3,263,0,1
8,45,G - All Ages,23,3,0,18,13,264,0,1
7,38,G - All Ages,23,3,0,2,13,265,0,1
7,76,PG-13 - Teens 13 or older,24,1,0,60,321,266,0,1
7,26,PG-13 - Teens 13 or older,24,1,0,2,5,267,0,1
6,13,PG-13 - Teens 13 or older,24,1,2,61,151,268,0,2
6,24,PG-13 - Teens 13 or older,11,1,0,19,32,269,0,1
8,40,PG-13 - Teens 13 or older,24,1,3,34,55,270,0,1
8,13,R - 17+ (violence & profanity),23,0,4,2,31,271,0,0
8,26,PG-13 - Teens 13 or older,23,1,1,2,127,272,0,1
7,25,PG-13 - Teens 13 or older,23,1,3,6,1,273,0,1
7,13,PG-13 - Teens 13 or older,24,1,4,46,1,274,0,2
7,20,PG-13 - Teens 13 or older,25,1,4,25,50,275,0,1
8,12,G - All Ages,25,3,3,8,3,276,0,1
7,22,PG-13 - Teens 13 or older,24,1,1,6,151,277,0,26
6,13,G - All Ages,13,3,0,48,7,278,0,0
7,51,G - All Ages,24,3,0,60,321,279,0,0
7,49,G - All Ages,24,3,0,60,321,280,0,0
7,50,G - All Ages,24,3,0,60,321,281,0,0
8,51,G - All Ages,24,3,0,60,321,282,0,0
6,12,R+ - Mild Nudity,14,2,0,26,15,283,0,0
8,24,PG-13 - Teens 13 or older,24,1,1,62,1,284,0,2
7,24,R - 17+ (violence & profanity),24,0,1,42,5,285,0,2
7,4,R - 17+ (violence & profanity),25,0,0,62,74,286,2,2
7,6,R+ - Mild Nudity,27,2,4,40,321,287,2,2
6,2,PG-13 - Teens 13 or older,30,1,1,6,319,288,2,1
6,12,PG-13 - Teens 13 or older,23,1,2,4,50,289,0,26
7,37,PG-13 - Teens 13 or older,25,1,9,6,105,290,0,1
6,7,R+ - Mild Nudity,30,2,0,0,91,291,2,0
7,3,G - All Ages,24,3,0,7,131,292,2,1
7,6,Rx - Hentai,30,2,10,63,109,293,2,2
7,12,R+ - Mild Nudity,24,2,3,5,191,294,0,2
7,13,PG-13 - Teens 13 or older,25,1,0,64,228,295,0,0
8,1,PG - Children,81,1,0,0,191,296,1,1
8,1,PG - Children,82,1,0,0,191,297,1,1
7,6,PG-13 - Teens 13 or older,28,1,0,10,79,298,2,1
6,12,R - 17+ (violence & profanity),24,0,0,10,18,299,2,1
7,12,PG-13 - Teens 13 or older,23,1,0,10,18,300,0,0
7,1,R+ - Mild Nudity,25,2,3,5,21,301,3,1
7,6,PG-13 - Teens 13 or older,25,1,0,0,18,302,2,0
7,1,PG-13 - Teens 13 or older,62,1,0,0,33,303,1,0
8,26,R - 17+ (violence & profanity),24,0,0,1,1,304,0,1
7,3,PG-13 - Teens 13 or older,28,1,0,0,3,305,2,1
6,4,R+ - Mild Nudity,28,2,0,65,25,306,2,1
7,24,PG-13 - Teens 13 or older,13,1,0,0,191,307,0,26
7,13,R+ - Mild Nudity,22,2,1,3,4,308,0,1
7,26,R - 17+ (violence & profanity),23,0,2,66,50,309,0,1
7,41,PG-13 - Teens 13 or older,24,1,0,60,18,310,0,1
8,13,PG-13 - Teens 13 or older,24,1,2,3,100,311,0,1
8,52,PG - Children,23,1,6,2,127,312,0,1
7,6,R - 17+ (violence & profanity),30,0,1,62,179,313,2,0
