Name,Score,Genres,Type,Episodes,Rating,Producers,Studios,Source,Duration,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format
Fragtime,6.53,"Sci-Fi, Slice of Life, Romance, School, Shoujo Ai",Movie,1,PG-13 - Teens 13 or older,Sotsu,Tear Studio,Manga,1 hr.,1,PG-13,Sci-Fi,Sotsu,Tear Studio
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.46,"Slice of Life, Comedy, Drama, Romance, School",TV,12,PG-13 - Teens 13 or older,"Marvelous, TBS, Movic, Delfi Sound, NBCUniversal Entertainment Japan",feel.,Novel,24 min. per ep.,24,PG-13,Comedy,Movic,feel.
Ero◆Lover,5.0,"Romance, Ecchi, School",ONA,50,R+ - Mild Nudity,"Anime Beans, Cloud22",Asura Film,Manga,24 min. per ep.,24,R+,Romance,Cloud22,Asura Film
Hito Toki Kiryu Ashikaga,5.0,Slice of Life,ONA,4,G - All Ages,Cloud22,Asura Film,Original,1 min. per ep.,1,G,Slice of Life,Cloud22,Asura Film
Boku no Hero Academia the Movie 2: Heroes:Rising,8.08,"Action, Super Power, Shounen",Movie,1,PG-13 - Teens 13 or older,"Dentsu, Yomiuri Telecasting, Movic, Toho, Sony Music Entertainment, Nippon Television Network, Shueisha",Bones,Manga,1 hr. 44 min.,104,PG-13,Action,Movic,Bones
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,6.03,"Action, Police, Vampire, Fantasy",TV,12,PG-13 - Teens 13 or older,"Frontier Works, Lantis, Sega, AT-X, Ai Addiction, Hakuhodo DY Music & Pictures, Yomiuri TV Enterprise, Kadokawa, Bandai Namco Arts, Toyo Recording, arma bianca",Anima&Co.,Original,23 min. per ep.,23,PG-13,Action,Lantis,Anima&Co.
Sora no Aosa wo Shiru Hito yo,7.53,Drama,Movie,1,PG-13 - Teens 13 or older,"Aniplex, Fuji TV, Toho, Kadokawa, STORY, FILMONY",CloverWorks,Original,1 hr. 46 min.,106,PG-13,Drama,Aniplex,CloverWorks
High Score Girl II,8.08,"Comedy, Game, Romance, School, Seinen",TV,9,PG-13 - Teens 13 or older,"Square Enix, Mainichi Broadcasting System, Magic Capsule, Warner Bros. Japan, KlockWorx, Good Smile Company",J.C.Staff,Manga,23 min. per ep.,23,PG-13,Comedy,KlockWorx,J.C.Staff
Wangu Xian Qiong III: Eren Gu Pian,5.0,"Adventure, Comedy, Fantasy",TV,13,PG-13 - Teens 13 or older,iQIYI,ASK Animation Studio,Novel,15 min. per ep.,15,PG-13,Comedy,iQIYI,ASK Animation Studio
Somali to Mori no Kamisama,7.82,"Adventure, Slice of Life, Demons, Drama, Fantasy",TV,12,PG-13 - Teens 13 or older,"Movic, North Stars Pictures, JY Animation, Crunchyroll SC Anime Fund, CA-Cygames Anime Fund, HORNETS, Mixer",Satelight,Web manga,23 min. per ep.,23,PG-13,Fantasy,Movic,Satelight
